epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,781.978,1.35421,4.40664,1.11925,0.68448,0.69665,0.70726,0.46345,1.21754,4.57922,1.04947,0.000473885,0.000473885,0.000473885
157,785.865,1.36201,4.53581,1.12624,0.68535,0.67823,0.69542,0.44957,1.21308,4.64924,1.05467,0.000468658,0.000468658,0.000468658
158,789.569,1.36305,4.57579,1.13989,0.66385,0.68522,0.68746,0.44558,1.24209,4.64914,1.05689,0.000463435,0.000463435,0.000463435
159,793.224,1.31809,4.28317,1.12006,0.68109,0.68134,0.70354,0.45563,1.2248,4.49053,1.04725,0.000458215,0.000458215,0.000458215
160,796.921,1.35917,4.44491,1.13272,0.69661,0.67487,0.70397,0.43699,1.29136,4.54499,1.07764,0.000453001,0.000453001,0.000453001
161,800.544,1.37157,4.51226,1.128,0.70985,0.66608,0.7049,0.45659,1.22599,4.50614,1.05839,0.000447791,0.000447791,0.000447791
162,804.259,1.34369,4.41261,1.12578,0.69623,0.6828,0.70564,0.44735,1.26735,4.52561,1.0658,0.000442587,0.000442587,0.000442587
163,808.329,1.33482,4.50017,1.11618,0.68502,0.6797,0.70004,0.44987,1.2275,4.47258,1.05224,0.00043739,0.00043739,0.00043739
164,812.08,1.35094,4.44238,1.13827,0.68721,0.6677,0.70538,0.45204,1.22956,4.46989,1.0518,0.000432199,0.000432199,0.000432199
165,815.903,1.35163,4.36293,1.11887,0.68157,0.68585,0.70863,0.45911,1.21624,4.43112,1.04695,0.000427016,0.000427016,0.000427016
166,819.645,1.34917,4.3444,1.12068,0.6913,0.67528,0.69925,0.46146,1.18727,4.44029,1.03498,0.000421841,0.000421841,0.000421841
167,823.221,1.34416,4.34713,1.12444,0.67067,0.6755,0.68624,0.45284,1.16584,4.54964,1.03106,0.000416674,0.000416674,0.000416674
168,826.882,1.32968,4.37152,1.12116,0.69883,0.66961,0.70085,0.4593,1.19413,4.3957,1.03717,0.000411516,0.000411516,0.000411516
169,830.815,1.3302,4.23861,1.11754,0.69432,0.6784,0.70575,0.46292,1.18909,4.36917,1.03719,0.000406369,0.000406369,0.000406369
170,834.358,1.33959,4.31383,1.11716,0.70436,0.67355,0.70619,0.46355,1.19431,4.50034,1.03922,0.000401231,0.000401231,0.000401231
171,838.125,1.31428,4.28198,1.11644,0.68768,0.67403,0.69241,0.45536,1.18757,4.52446,1.03995,0.000396105,0.000396105,0.000396105
172,841.78,1.32743,4.3386,1.1192,0.68075,0.67821,0.68747,0.45465,1.17886,4.5702,1.03664,0.000390989,0.000390989,0.000390989
173,845.414,1.37669,4.43714,1.12471,0.69726,0.67526,0.69681,0.45629,1.17003,4.56256,1.03524,0.000385886,0.000385886,0.000385886
174,848.978,1.3524,4.4617,1.13504,0.69742,0.67506,0.69785,0.45351,1.21317,4.47947,1.03944,0.000380795,0.000380795,0.000380795
