epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,513.131,1.52046,5.19668,1.15713,0.67651,0.67093,0.7001,0.41284,1.42281,4.81203,1.21081,7.74512e-05,7.74512e-05,7.74512e-05
128,516.899,1.51245,5.07769,1.15839,0.68563,0.66096,0.70125,0.40494,1.45958,4.84309,1.22957,7.71221e-05,7.71221e-05,7.71221e-05
129,520.712,1.51879,5.22156,1.17469,0.67911,0.66464,0.6993,0.4175,1.39568,4.78692,1.1975,7.67914e-05,7.67914e-05,7.67914e-05
130,524.612,1.53347,5.34832,1.17542,0.68092,0.66771,0.7001,0.40562,1.44158,4.86101,1.21824,7.6459e-05,7.6459e-05,7.6459e-05
131,528.371,1.50862,5.25058,1.16116,0.67443,0.66096,0.6956,0.41886,1.37636,4.78473,1.18725,7.6125e-05,7.6125e-05,7.6125e-05
132,532.209,1.52588,5.3452,1.17477,0.67588,0.66553,0.69762,0.41573,1.39366,4.79737,1.19554,7.57893e-05,7.57893e-05,7.57893e-05
133,536.053,1.52362,5.2251,1.17869,0.67729,0.66508,0.69798,0.4127,1.41379,4.78641,1.20599,7.54521e-05,7.54521e-05,7.54521e-05
134,539.678,1.51732,5.16849,1.17635,0.67438,0.66545,0.69885,0.41689,1.39212,4.77684,1.19504,7.51133e-05,7.51133e-05,7.51133e-05
135,543.493,1.52077,5.23869,1.17727,0.68715,0.66172,0.69813,0.41154,1.41553,4.80623,1.2065,7.4773e-05,7.4773e-05,7.4773e-05
136,547.31,1.52014,5.20452,1.15858,0.6736,0.67183,0.69552,0.41583,1.38027,4.78367,1.18996,7.44311e-05,7.44311e-05,7.44311e-05
137,551.15,1.52791,5.22413,1.1701,0.67629,0.6679,0.69497,0.42141,1.35496,4.75381,1.17839,7.40877e-05,7.40877e-05,7.40877e-05
138,555.033,1.48762,5.03285,1.15384,0.67938,0.66419,0.69855,0.4208,1.36298,4.75083,1.18107,7.37428e-05,7.37428e-05,7.37428e-05
139,558.852,1.53614,5.29953,1.17661,0.68278,0.66141,0.6985,0.42653,1.34452,4.71056,1.17295,7.33965e-05,7.33965e-05,7.33965e-05
140,562.656,1.50478,5.21663,1.16884,0.6809,0.66676,0.69745,0.41718,1.39953,4.75836,1.1989,7.30487e-05,7.30487e-05,7.30487e-05
141,566.502,1.50213,5.09722,1.14799,0.68289,0.66016,0.69906,0.41603,1.40623,4.77558,1.20108,7.26996e-05,7.26996e-05,7.26996e-05
142,570.1,1.51438,5.27079,1.16861,0.68213,0.65874,0.6979,0.41932,1.38186,4.7642,1.18841,7.2349e-05,7.2349e-05,7.2349e-05
143,573.55,1.50732,5.25357,1.17213,0.68101,0.66727,0.69912,0.4154,1.40164,4.7639,1.19756,7.1997e-05,7.1997e-05,7.1997e-05
144,577.033,1.50555,5.07429,1.15239,0.67749,0.66219,0.69691,0.42159,1.36188,4.74261,1.17859,7.16437e-05,7.16437e-05,7.16437e-05
145,580.48,1.53029,5.33997,1.18002,0.67708,0.66113,0.69761,0.41959,1.37439,4.73352,1.18409,7.1289e-05,7.1289e-05,7.1289e-05
146,583.996,1.52283,5.18548,1.17376,0.67684,0.66072,0.69938,0.41728,1.38851,4.75447,1.1903,7.0933e-05,7.0933e-05,7.0933e-05
147,587.427,1.50496,5.09401,1.15187,0.68147,0.65564,0.69772,0.42305,1.36072,4.73162,1.17802,7.05757e-05,7.05757e-05,7.05757e-05
148,591.23,1.47827,5.03797,1.15446,0.68167,0.66552,0.70057,0.41679,1.40029,4.75564,1.1964,7.02172e-05,7.02172e-05,7.02172e-05
149,595.047,1.51877,5.1299,1.15325,0.67605,0.66748,0.69773,0.41592,1.39619,4.76949,1.19407,6.98574e-05,6.98574e-05,6.98574e-05
150,598.862,1.50214,5.17968,1.16353,0.68804,0.65643,0.69719,0.41948,1.37583,4.74463,1.18418,6.94964e-05,6.94964e-05,6.94964e-05
151,602.723,1.48942,4.96956,1.13912,0.68913,0.65529,0.70015,0.42659,1.34018,4.69276,1.16708,6.91342e-05,6.91342e-05,6.91342e-05
152,606.174,1.49318,5.10342,1.16244,0.69482,0.65383,0.70258,0.41993,1.38597,4.72333,1.1877,6.87708e-05,6.87708e-05,6.87708e-05
153,609.715,1.50893,5.07909,1.15783,0.6836,0.6593,0.69876,0.4301,1.31486,4.6749,1.15554,6.84063e-05,6.84063e-05,6.84063e-05
154,613.18,1.50956,5.11333,1.18026,0.68391,0.66283,0.70012,0.4224,1.36805,4.7119,1.17851,6.80406e-05,6.80406e-05,6.80406e-05
155,616.791,1.52754,5.12603,1.15067,0.67887,0.66599,0.70156,0.43056,1.32392,4.67116,1.16002,6.76738e-05,6.76738e-05,6.76738e-05
156,620.266,1.52734,5.08668,1.1592,0.67906,0.66673,0.70167,0.41966,1.39215,4.71992,1.19171,6.73059e-05,6.73059e-05,6.73059e-05
157,623.756,1.4947,4.99036,1.1641,0.68026,0.66267,0.70189,0.42815,1.33913,4.67772,1.16719,6.69369e-05,6.69369e-05,6.69369e-05
158,627.185,1.50181,5.09576,1.15139,0.68025,0.66251,0.70151,0.41362,1.42214,4.75891,1.20557,6.65669e-05,6.65669e-05,6.65669e-05
159,630.914,1.51479,5.15872,1.1511,0.67421,0.65999,0.69692,0.42996,1.3198,4.69795,1.15773,6.61959e-05,6.61959e-05,6.61959e-05
160,634.647,1.49331,5.15936,1.17329,0.68223,0.66392,0.70199,0.4238,1.37052,4.70693,1.18068,6.58239e-05,6.58239e-05,6.58239e-05
161,638.446,1.50106,5.03734,1.16083,0.6854,0.66295,0.70051,0.42349,1.36781,4.70955,1.17907,6.54509e-05,6.54509e-05,6.54509e-05
162,642.208,1.50162,5.13961,1.16664,0.68959,0.65353,0.69766,0.42011,1.38087,4.72943,1.18488,6.50769e-05,6.50769e-05,6.50769e-05
163,646.149,1.535,5.17495,1.14885,0.68126,0.66454,0.70056,0.42482,1.35348,4.69058,1.17223,6.47021e-05,6.47021e-05,6.47021e-05
